Pixel,R,G,B
1209,69,128,35
1210,86,149,46
1211,94,150,48
1212,100,163,46
1213,68,121,39
1214,87,145,47
1215,90,148,49
1216,91,154,39
1217,82,143,42
1218,77,143,37
1219,69,129,36
1220,88,156,46
1221,78,136,43
1222,92,144,48
1223,97,151,54
1224,79,134,46
1225,84,147,41
1226,94,159,48
1227,160,206,111
1228,147,195,104
1229,149,197,90
1230,74,134,40
1231,97,171,37
1232,79,150,38
1233,85,161,37
1234,144,190,91
1235,168,205,118
1236,145,196,99
1237,77,143,40
1238,91,156,46
1239,84,146,39
1240,65,127,26
1241,49,113,21
1242,85,147,38
1243,77,143,35
1244,51,117,24
1245,85,152,40
1246,66,134,30
1247,78,151,31
1248,75,143,34
1249,83,147,41
1250,94,158,45
1251,83,144,40
1252,79,144,40
1253,79,138,42
1254,77,140,37
1255,76,142,34
1256,89,153,43
1257,79,141,37
1258,94,160,42
1259,77,143,32
1260,85,152,43
1261,87,143,51
1262,81,146,38
1263,98,162,45
1264,83,143,46
1265,84,145,40
1266,124,171,81
1267,136,193,74
1268,146,201,96
1269,103,167,57
1270,79,143,38
1271,85,153,39
1272,75,146,35
1273,103,161,58
1274,173,210,111
1275,137,181,102
1276,159,202,110
1277,88,150,41
1278,85,166,38
1279,72,137,37
1280,79,145,27
1281,63,121,29
1282,61,120,33
1283,74,141,30
1284,61,119,33
1285,64,128,29
1286,69,126,32
1287,63,126,28
1288,76,135,36
1289,83,138,51
1290,74,139,35
1291,86,147,41
1292,82,144,42
1293,87,149,46
1294,81,144,43
1295,94,157,45
1296,95,161,44
1297,75,126,45
1298,93,157,47
1299,97,159,51
1300,94,151,46
1301,71,129,40
1302,99,156,55
1303,88,150,45
1304,82,146,40
1305,128,175,83
1306,147,189,100
1307,142,192,83
1308,106,166,56
1309,85,155,39
1310,65,139,32
1311,67,133,34
1312,86,147,43
1313,97,149,56
1314,169,204,121
1315,149,206,89
1316,149,196,96
1317,91,153,49
1318,88,155,37
1319,78,150,33
1320,77,146,26
1321,58,121,26
1322,58,121,25
1323,81,145,35
1324,61,120,32
1325,72,130,35
1326,66,129,30
1327,59,121,25
1328,74,143,30
1329,52,122,23
1330,78,141,36
1331,82,152,34
1332,70,136,30
1333,68,141,28
1334,74,127,34
1335,82,144,34
1336,74,146,34
1337,94,153,45
1338,76,128,39
1339,85,147,47
1340,83,148,41
1341,85,149,41
1342,83,145,40
1343,84,147,42
1344,84,143,45
1345,140,187,86
1346,145,189,92
1347,139,190,82
1348,63,119,31
1349,87,159,39
1350,74,141,30
1351,99,165,46
1352,78,139,42
1353,91,148,48
1354,165,205,111
1355,147,193,105
1356,178,216,113
1357,124,187,68
1358,91,166,37
1359,87,161,41
1360,51,114,21
1361,68,127,32
1362,71,136,31
1363,47,110,21
1364,59,115,27
1365,66,131,32
1366,61,131,27
1367,62,129,29
1368,81,139,38
1369,70,131,33
1370,54,113,26
1371,75,142,34
1372,82,145,35
1373,76,138,37
1374,75,139,33
1375,76,138,37
1376,75,134,38
1377,87,157,38
1378,79,140,39
1379,66,128,33
1380,101,163,49
1381,102,162,47
1382,84,148,37
1383,69,130,34
1384,130,175,80
1385,149,196,93
1386,135,181,87
1387,115,175,61
1388,82,145,38
1389,89,151,41
1390,75,138,37
1391,85,161,32
1392,73,134,35
1393,79,139,40
1394,120,178,73
1395,143,190,96
1396,167,207,98
1397,139,195,85
1398,140,196,86
1399,119,177,70
1400,52,111,25
1401,70,125,37
1402,61,121,26
1403,65,131,27
1404,64,130,22
1405,65,127,28
1406,69,129,33
1407,70,133,34
1408,68,132,27
1409,77,140,32
1410,81,145,34
1411,67,129,33
1412,77,143,36
1413,77,145,34
1414,85,149,38
1415,86,148,42
1416,71,130,35
1417,84,145,43
1418,99,160,45
1419,100,160,48
1420,76,140,38
1421,74,141,33
1422,87,157,37
1423,94,152,54
1424,150,189,103
1425,160,201,106
1426,122,174,71
1427,80,145,39
1428,68,135,33
1429,96,162,45
1430,60,127,28
1431,75,149,28
1432,68,130,33
1433,71,137,32
1434,83,144,43
1435,147,195,93
1436,123,173,81
1437,161,221,97
1438,139,197,80
1439,139,200,75
1440,77,133,33
1441,58,112,26
1442,67,124,29
1443,61,125,26
1444,57,121,21
1445,55,117,22
1446,82,141,36
1447,58,115,28
1448,71,129,39
1449,86,144,36
1450,75,141,30
1451,68,131,26
1452,64,127,32
1453,78,145,33
1454,70,134,35
1455,76,139,37
1456,75,139,36
1457,89,157,46
1458,94,157,49
1459,100,162,50
1460,65,130,32
1461,79,147,37
1462,91,151,46
1463,144,186,95
1464,144,192,94
1465,125,175,79
1466,108,170,54
1467,95,153,45
1468,76,136,39
1469,87,156,43
1470,74,143,36
1471,85,152,39
1472,100,162,45
1473,71,139,34
1474,81,147,40
1475,107,172,55
1476,125,175,81
1477,148,206,83
1478,124,177,82
1479,127,183,84
1480,63,134,21
1481,57,127,21
1482,51,112,23
1483,58,123,24
1484,50,104,21
1485,49,115,21
1486,59,124,24
1487,48,112,22
1488,64,124,33
1489,89,143,45
1490,69,133,29
1491,82,142,38
1492,63,124,31
1493,76,138,31
1494,83,148,38
1495,77,148,32
1496,73,135,39
1497,84,153,41
1498,76,144,39
1499,85,155,33
1500,70,140,27
1501,82,143,35
1502,158,195,96
1503,147,192,100
1504,149,190,97
1505,115,165,69
1506,60,120,33
1507,101,171,41
1508,78,150,35
1509,69,136,35
1510,61,142,25
1511,77,151,32
1512,83,154,36
1513,61,129,31
1514,81,147,41
1515,67,146,29
1516,70,136,35
1517,109,179,53
1518,117,171,71
1519,150,193,100
1520,43,110,16
1521,47,110,20
1522,70,135,24
1523,57,123,21
1524,70,131,29
1525,67,132,26
1526,45,99,23
1527,57,123,24
1528,67,130,28
1529,70,135,27
1530,56,121,23
1531,85,150,34
1532,62,129,25
1533,59,122,23
1534,91,160,35
1535,61,131,26
1536,67,136,30
1537,77,138,38
1538,90,160,41
1539,64,133,23
1540,67,134,30
1541,109,167,56
1542,169,208,110
1543,153,195,103
1544,119,169,73
1545,66,129,32
1546,73,137,33
1547,66,143,31
1548,71,142,31
1549,78,147,39
1550,65,131,33
1551,93,161,50
1552,82,144,41
1553,90,151,48
1554,82,151,42
1555,81,152,32
1556,76,144,35
1557,92,153,44
1558,86,149,41
1559,94,163,42
1560,53,118,18
1561,45,109,15
1562,48,105,21
1563,55,113,22
1564,53,110,25
1565,65,125,28
1566,57,122,23
1567,48,109,22
1568,61,128,23
1569,60,128,22
1570,57,134,19
1571,41,102,20
1572,64,133,31
1573,65,124,36
1574,82,144,45
1575,75,135,36
1576,46,115,21
1577,72,139,33
1578,65,133,26
1579,75,144,29
1580,84,155,37
1581,149,196,89
1582,142,193,88
1583,150,194,94
1584,96,157,51
1585,83,152,34
1586,80,147,38
1587,77,156,30
1588,81,147,39
1589,80,149,33
1590,60,128,29
1591,87,151,44
1592,75,142,38
1593,105,162,64
1594,73,147,38
1595,84,152,31
1596,69,130,37
1597,69,138,31
1598,66,131,29
1599,84,152,39
